row_id,mRID,length,Locat.mrid,PositionPoints
12,22fbe943-0401-40a9-9f28-239583c2f199,43.33386852,902df2f4-15ad-489e-ae8c-76b523e47abe,"MULTILINESTRING ((143.535478154 -38.334755387,143.535443737 -38.334619595,143.535494678 -38.334578087,143.535727248 -38.334513664))"
13,6f2ec488-de40-4127-b111-ef18f012d9dc,302.5912897,c9d13eec-a363-454a-b930-7bcb7d587f36,"MULTILINESTRING ((143.535478154 -38.334755387,143.538922856 -38.334492107))"
14,4ffcb5f9-9c5f-475f-ab6e-4db0b1d9e307,176.9453752,763682ca-559e-427e-8028-d67d72322c44,"MULTILINESTRING ((143.544920385 -38.334595806,143.546940622 -38.33469048))"
15,e6406690-7043-49de-a361-5ca5653a7da4,525.5267517,122783fb-7d0d-41aa-ab1d-8d642a186bbd,"MULTILINESTRING ((143.538922856 -38.334492107,143.539338232 -38.334462039,143.539950643 -38.334414224,143.54068712 -38.334395507,143.5413722 -38.334416047,143.541978587 -38.334457886,143.544920385 -38.334595806))"
16,313d5f76-93e0-4e54-b870-1d5642589fbe,36.18785571,2217447d-f8dd-4262-9edd-514ba91e780c,"MULTILINESTRING ((143.535681796 -38.334190905,143.535706088 -38.334460959,143.535727248 -38.334513664))"
17,0a46b1b2-1df2-435c-93c7-b81fc34a7b39,51.74293698,00d9cc35-e751-4f3e-aaf3-5604dc2f31ef,"MULTILINESTRING ((143.535727248 -38.334513664,143.535776961 -38.334499897,143.535921421 -38.334462153,143.536175991 -38.334433652,143.536303385 -38.334414132))"
18,f3938818-6299-4faf-a10e-cd027a2ae613,28.06298577,ce37f1d7-9208-46d6-8f8d-6b003c984ef8,"MULTILINESTRING ((143.536293403 -38.334161441,143.536303385 -38.334414132))"
19,04c68df6-47bd-4096-936d-90322315b7f5,199.597221,d3aa0afd-cd88-4461-a178-56cc98ac2583,"MULTILINESTRING ((143.536303385 -38.334414132,143.536566806 -38.334394494,143.536834392 -38.334363663,143.537189704 -38.33434682,143.53728993 -38.334331583,143.537321333 -38.334250903,143.537299954 -38.334123764,143.537215487 -38.334095725,143.536828903 -38.334109837,143.536387462 -38.334139293,143.536293403 -38.334161441))"
20,8761ab1e-e22c-45c7-b632-655a11c35f53,40.93744012,43627794-5337-458e-838d-3b97c8672756,"MULTILINESTRING ((143.535681796 -38.334190905,143.535215475 -38.334224073))"
21,3cab88a7-2221-4143-b5b3-dddb3ac2c0f6,53.66807498,6caef6ea-e80a-4115-9bc5-bd9f378e5095,"MULTILINESTRING ((143.536293403 -38.334161441,143.536170316 -38.334156068,143.535889086 -38.334174012,143.535681796 -38.334190905))"
22,d17fe7a3-9316-4aac-b4e9-d426bfbf5c6d,150.8627207,5f0a6886-54fe-4947-820a-4f133c9718e3,"MULTILINESTRING ((143.552329422 -38.334135528,143.55129987 -38.333044888))"
23,7a056c80-b483-4778-a2ef-e5abbc5ee506,115.6584622,976c7af5-12b6-4e28-b245-61c46f3f3502,"MULTILINESTRING ((143.552329422 -38.334135528,143.553612028 -38.333914486,143.553621733 -38.333913017))"
24,5972ad9a-dbf4-4d8b-a37b-e42f68b0d506,74.80449366,432b94f0-d48d-4e78-aa26-e390034821ae,"MULTILINESTRING ((143.553621733 -38.333913017,143.553187199 -38.333332508))"
25,d2a42408-22fc-42eb-9dec-ca7c06772185,177.0686698,daec34ac-5fcd-454b-938e-475b4a15002e,"MULTILINESTRING ((143.55129987 -38.333044888,143.55298726 -38.332162831))"
26,27d45dd2-f5fb-48ae-aaf8-515d2a21dd2b,902.0793792,84e68419-2bf5-450f-ac02-c8daf3caf2e5,"MULTILINESTRING ((143.55129987 -38.333044888,143.550653739 -38.332307521,143.547422173 -38.328691698,143.546578678 -38.327652266,143.545420327 -38.32636843))"
27,6f7db734-b186-4f4d-9752-815603fd7373,289.2073158,6fa12c82-2dfa-49a8-b546-9c29d8022614,"MULTILINESTRING ((143.533908556 -38.331579616,143.533471873 -38.330169495,143.533144837 -38.329044678))"
28,16be3b0b-d5d5-4b8c-bdfa-96439c3d9da5,179.0048561,ff5dfbdb-0c97-4666-91ec-369deb8244c7,"MULTILINESTRING ((143.533144837 -38.329044678,143.535173878 -38.328830341))"
29,1549c543-ff2f-4499-b5b0-cb81cf9c73a6,197.8918095,7f9fb4f4-58c9-47ef-adb1-1f53c6c2a882,"MULTILINESTRING ((143.533144837 -38.329044678,143.532885297 -38.328219186,143.532611451 -38.327312151))"
30,e06ff79e-aa95-4cf7-abe3-f92917b60f2d,376.6319273,28a46fad-973e-4364-ad49-d5315c7a5940,"MULTILINESTRING ((143.532611451 -38.327312151,143.531361833 -38.327362987,143.530718051 -38.327296162,143.529549171 -38.326998347,143.528453222 -38.32665777))"
31,be00739e-88ff-4e90-9738-47fb6a02f6b6,426.8499315,ad76f5cc-1c3a-48e6-a5b8-7e5df9c7eca2,"MULTILINESTRING ((143.532611451 -38.327312151,143.532195984 -38.325954692,143.532028679 -38.325336898,143.531725074 -38.323990641,143.53164273 -38.323545325))"
32,382868e0-058f-440a-81b9-2c9b4142491e,410.3190003,51dac428-4ae3-41d2-bf5c-918f054efd92,"MULTILINESTRING ((143.545420327 -38.32636843,143.545890346 -38.326273351,143.546364756 -38.326137485,143.547347286 -38.325864541,143.547479361 -38.325793725,143.547621043 -38.325649026,143.547715975 -38.325492504,143.547736612 -38.325428402,143.547759607 -38.325190576,143.547758984 -38.325175533,143.547752637 -38.325023171,143.547712423 -38.324915925,143.547696033 -38.324824532,143.547490675 -38.324219491,143.547415443 -38.324165561,143.547198453 -38.324010037))"
33,42d86e9e-3cca-4e60-96b3-bbc19a92ad20,1164.150578,9ed3c5f5-19f1-4ae3-b2f3-e563020eebf9,"MULTILINESTRING ((143.545420327 -38.32636843,143.542356931 -38.322972887,143.541545253 -38.322189514,143.537256861 -38.319185282,143.53689671 -38.318842549,143.536669769 -38.318547797))"
34,52e9d5a0-d3d3-4114-857d-25af48bae6e6,383.1783419,eb0588a4-1a3c-42eb-90ad-65e9b81c32ef,"MULTILINESTRING ((143.53164273 -38.323545325,143.530192599 -38.323724691,143.529313073 -38.323814934,143.528657893 -38.324001945,143.528285294 -38.324122315,143.528057723 -38.324271901,143.527793224 -38.324528674,143.527701672 -38.324678754))"
35,3d893a11-9920-4234-8541-4f2fcabffdc8,281.7572877,2ffa6f8d-4966-4633-a316-eca25a5a6514,"MULTILINESTRING ((143.53164273 -38.323545325,143.531191756 -38.321032016))"
36,c450191b-8d83-42a5-97e2-a6ccb2dd767f,485.7527694,6ea92bc5-e68a-4cb3-8cad-c2551d783b33,"MULTILINESTRING ((143.531191756 -38.321032016,143.529335103 -38.321233222,143.528754313 -38.321259809,143.527083992 -38.321439871,143.526775619 -38.321424355,143.526322655 -38.321308185,143.525906419 -38.321106174,143.525798585 -38.321037418))"
37,c807bfaa-4f79-44be-af3a-0a2ec4ef6dda,357.3862297,1a4df2d3-9c35-4249-8dad-b66507092565,"MULTILINESTRING ((143.531191756 -38.321032016,143.530600919 -38.317846219))"
38,0a63a73f-0b45-4299-93ae-266a33a9a262,95.92234343,9fe9a024-8b14-45cd-acba-770e03e7d2cb,"MULTILINESTRING ((143.570779819 -38.337160794,143.571836943 -38.337392075))"
39,72e2b4d1-50ec-44d4-8b52-8d662400c650,75.43601731,f2d809b5-bf05-44a2-9972-7d539f889f0e,"MULTILINESTRING ((143.568595446 -38.342710038,143.568633233 -38.342493448,143.568712905 -38.342036778))"
40,9fa91903-ba66-4331-927e-30001e29c849,263.8689316,6463e611-0380-43d1-83bd-bddc70b84a8e,"MULTILINESTRING ((143.570338647 -38.339512397,143.570779819 -38.337160794))"
41,3e86b3c8-025a-422a-9624-0cb0df8da44f,102.6656584,e6519268-5408-443a-878c-73a64570b3ee,"MULTILINESTRING ((143.569176005 -38.339382318,143.570338647 -38.339512397))"
42,e38cb81f-31f5-4fca-bdb5-1c2808945973,163.3636417,a5008ffe-9590-40f4-a9ba-a1f87cdec83e,"MULTILINESTRING ((143.57016433 -38.336235859,143.572012384 -38.336453045))"
43,f91554e2-370d-4541-a752-53f32857af8c,193.0469081,2858cd5e-dd61-47c3-b0b7-2658597c824d,"MULTILINESTRING ((143.568712905 -38.342036778,143.569013464 -38.340313848))"
44,2d34b7a6-3aec-44e0-a0a7-daedaabb870d,155.246311,636b7dfc-5d83-41f2-9d40-a7942f04a0be,"MULTILINESTRING ((143.568712905 -38.342036778,143.567475793 -38.341899667,143.567013696 -38.341934007,143.566952007 -38.341926853))"
45,cba5b660-4acd-4880-be63-dc5b3b7f0f1e,104.3744116,07a29531-426a-4628-8766-64e5ccf5f7cf,"MULTILINESTRING ((143.569013464 -38.340313848,143.569176005 -38.339382318))"
46,b413e0c9-8544-4f22-ab4e-e5b2324150a0,69.25511101,3cb27400-b641-48c7-8966-bb0d494b1666,"MULTILINESTRING ((143.570779819 -38.337160794,143.570019357 -38.336986146))"
47,a13b8cb3-124a-4a1e-957d-f3a5811567fa,70.34162296,69cf8329-374f-4db5-9a0a-fe06749d2aec,"MULTILINESTRING ((143.568379416 -38.339293212,143.569176005 -38.339382318))"
48,2ad7b2c8-5881-4265-813d-6e04af69deaa,277.2049415,60787b24-3ba9-48a2-b885-f2ab68655d15,"MULTILINESTRING ((143.569176005 -38.339382318,143.569430535 -38.337858617,143.569589595 -38.336906378))"
49,fcf205bf-91da-41f3-8436-171461596cb1,38.60290046,2b85f3f4-1c39-4263-b9f5-cfec7fdcaef8,"MULTILINESTRING ((143.570019357 -38.336986146,143.569589595 -38.336906378))"
50,89a7af0e-6e0a-45bd-bd3b-7360ed2479d2,84.24297012,043ab763-aca4-49f4-ad6a-dde37bf6a049,"MULTILINESTRING ((143.57016433 -38.336235859,143.570019357 -38.336986146))"
51,f3ebaac2-05d4-43fb-898b-8782ad276937,80.09599197,4fb8969e-ce2e-49a7-befa-55c4e0f85175,"MULTILINESTRING ((143.568379416 -38.339293212,143.568299491 -38.339709269,143.5682924 -38.339748788,143.568280187 -38.339787524,143.568262829 -38.33982502,143.568240617 -38.339860909,143.568213697 -38.339894742,143.568182453 -38.339926236,143.568147235 -38.339954935,143.568126893 -38.339968981))"
52,2583aabd-5655-4d54-92f5-a085dffc2c24,365.1474603,d6dc6525-5ba0-450f-8120-c0c7b7592e66,"MULTILINESTRING ((143.566952007 -38.341926853,143.566535527 -38.341878555,143.565678633 -38.341782321,143.564609813 -38.341658357,143.564151504 -38.341605357,143.564113735 -38.34151038,143.564224697 -38.340821857,143.564304979 -38.340792785,143.56454536 -38.340823612,143.564552437 -38.34082439))"
53,e5786765-2772-4e9c-8001-1dd920064610,316.2007256,7800baab-ff6b-4816-ac58-22f63e2ef313,"MULTILINESTRING ((143.564552437 -38.34082439,143.566784472 -38.341069176,143.567089609 -38.341102928,143.566952007 -38.341926853))"
54,92ad1f70-6fdc-4292-aebc-97dd44d4fc05,31.40316109,493da80a-a44c-40f0-b12c-2195fd72e6e7,"MULTILINESTRING ((143.568023787 -38.339253442,143.568379416 -38.339293212))"
55,4be5e78c-8b24-48bf-a38f-3ab97ad2f7aa,9.981378792,f5eb1339-2c3d-4176-921a-564f03824ee1,"MULTILINESTRING ((143.56947667 -38.336893159,143.569589595 -38.336906378))"
56,c06d5a1d-f5d4-4230-a5b9-8d8b7c2e7fda,101.5346906,03bb67f6-a67c-4824-8521-a2de89c97855,"MULTILINESTRING ((143.568328712 -38.336758787,143.568864471 -38.336804707,143.56947667 -38.336893159))"
57,21a0b9b4-4af0-4bc6-8493-d9d01142b5e2,215.0444988,7a62563c-9f77-4c6f-a3d6-832c64e17188,"MULTILINESTRING ((143.569835122 -38.334976554,143.56947667 -38.336893159))"
58,1d4752b9-9880-4d31-8404-fc4680423b9d,181.756605,b9b92a35-2443-4e46-86f5-e55ed002b05c,"MULTILINESTRING ((143.565965488 -38.339023135,143.568023787 -38.339253442))"
59,c5c1cf8a-b2be-4782-baab-453d54bc13a0,164.7493521,56f14a90-4214-4780-a778-72e1d90018a6,"MULTILINESTRING ((143.568023787 -38.339253442,143.56826516 -38.337781478))"
60,c78b6b4e-4cac-4bf7-a792-b8a153f732c1,88.27067684,fc391c4f-518d-4f6f-8c15-61ea50824a96,"MULTILINESTRING ((143.56826516 -38.337781478,143.567265861 -38.337667972))"
61,4e251532-1385-4408-b63a-9da7bb0a5fcb,423.8792893,7ab81b25-bb62-444a-91b5-9811467815c3,"MULTILINESTRING ((143.568328712 -38.336758787,143.569057529 -38.332983547))"
62,9d66d0a6-aa1b-4b5f-b303-a78e6f260fe3,93.91416949,64b9070c-4c27-4d5f-8a55-ff057fcfed62,"MULTILINESTRING ((143.56726541 -38.33663873,143.567267156 -38.336638931,143.568328712 -38.336758787))"
63,264265ff-d650-4d94-89f7-52a99a474873,100.1142917,b9ca0ee6-87b4-46a8-857c-b716c8dec9da,"MULTILINESTRING ((143.567265861 -38.337667972,143.56711736 -38.338562263))"
64,f3875743-30f3-41e7-9188-fd1f8276d440,92.62927831,dccbfd31-246f-4873-8d9e-3fd01606eaeb,"MULTILINESTRING ((143.567265861 -38.337667972,143.566217202 -38.337548963))"
65,bb5676f6-cd20-4758-b8b5-3c0537e812cf,165.1105007,22e1fa64-76e7-4bea-94e6-4cbd78957c0f,"MULTILINESTRING ((143.566217202 -38.337548963,143.565965488 -38.339023135))"
66,6286001e-73e2-4ebd-8b1f-6d5804f19e00,119.5348024,af43463a-8091-4e59-b3d7-1de75ef9e788,"MULTILINESTRING ((143.564611831 -38.338871621,143.565965488 -38.339023135))"
67,77089587-c0be-47e8-8f1d-ee5de2cf86d6,424.3154311,a93fa4b5-91f3-4513-9839-3cdf083ea4d1,"MULTILINESTRING ((143.56726541 -38.33663873,143.567970722 -38.33285675))"
68,05ce6fac-caf5-4153-bebd-fda1f452c911,79.08660802,c4005d21-4530-48b3-95fc-1a2f64cde263,"MULTILINESTRING ((143.566370546 -38.336534608,143.56726541 -38.33663873))"
69,ebf3706d-511b-47c0-821a-4267f4f25f89,113.3916652,a2bca72b-dc19-432c-b48d-f0ca651e74bd,"MULTILINESTRING ((143.566370546 -38.336534608,143.566285135 -38.337100757,143.566217202 -38.337548963))"
70,7def33a4-02a6-4f93-9aed-1e9d6a6f6b63,229.7161209,a34899f1-43bb-43b3-af7b-78c0100cfd75,"MULTILINESTRING ((143.566370546 -38.336534608,143.565864822 -38.33647098,143.563769461 -38.336242753))"
71,6a773e5a-f0a9-476c-83f2-198d2363d740,179.3449839,eaf9aed5-028b-4d1e-9033-dc82958ace8c,"MULTILINESTRING ((143.564611831 -38.338871621,143.56487481 -38.337269274))"
72,6a53edad-e9d4-43c8-9e68-c6adfc1f5adc,89.09215582,12a59f1d-aaed-4859-99ba-b7914b858cc6,"MULTILINESTRING ((143.56360499 -38.338747762,143.564611831 -38.338871621))"
73,5002f577-d801-49c4-b94e-d336aeefb39d,893.1430425,fe071d4b-ef56-4ac0-8a7c-865de819cf28,"MULTILINESTRING ((143.559288677 -38.341655713,143.559283261 -38.34168635,143.558269383 -38.346924488,143.557813065 -38.34961715))"
74,c691b00f-ac0d-43be-8c8b-d53682367249,190.8744654,0412f3ef-4ae0-42eb-96b4-1f9dc2f92c21,"MULTILINESTRING ((143.56360499 -38.338747762,143.563242328 -38.338708128,143.563130102 -38.338712118,143.563064395 -38.338756038,143.563019007 -38.338868306,143.562890801 -38.339705961,143.562849666 -38.339764001,143.562691666 -38.339864425,143.562591291 -38.3399005))"
75,dd8277e9-1254-47a7-b80c-8a5757ec30fd,305.4639174,1b38be13-06b4-4ae2-9b85-d99b10479ad3,"MULTILINESTRING ((143.563769461 -38.336242753,143.560308606 -38.335865704))"
76,0ad01664-e24e-47a5-b6ef-947b4fc89462,317.5300058,d6c5f691-6177-4529-8ec4-895a8ee482c7,"MULTILINESTRING ((143.563769461 -38.336242753,143.564037861 -38.334805077,143.564229951 -38.333865037,143.564245422 -38.333691424,143.56414563 -38.33361689,143.564138938 -38.33354347,143.564225347 -38.333471147))"
77,ecc42a75-705e-4d9f-978c-a22c3c765d53,34.92057558,f399257e-6bbb-4274-8472-76eee8ae0acd,"MULTILINESTRING ((143.559343576 -38.341344107,143.559288677 -38.341655713))"
78,092a09f2-9ed9-4513-b957-b8f7b567fbf0,55.54834468,7d738dd3-7fd7-4530-8274-3e48c874a7fa,"MULTILINESTRING ((143.559430916 -38.340848435,143.559404109 -38.341000597,143.559343576 -38.341344107))"
79,4f837724-73d7-418c-978d-6646fe5af56a,558.3950315,153ef3ec-d61f-41bb-a0a2-17a4bd96dc17,"MULTILINESTRING ((143.560308606 -38.335865704,143.560161434 -38.336700942,143.559872611 -38.338340773,143.559430916 -38.340848435))"
80,b3720a3a-59f6-4669-b675-bd8c0ed98ab5,778.1249766,05189aec-3949-4af6-aab1-d25005976d15,"MULTILINESTRING ((143.561574515 -38.328927025,143.560308606 -38.335865704))"
81,c617ba22-937f-4d02-ba53-2e02a22e65f9,244.2020405,c4804e2c-1dc8-4231-a9ff-be205f4da420,"MULTILINESTRING ((143.557541577 -38.335565836,143.560308606 -38.335865704))"
82,be86f324-e8d4-4e0f-a5bc-059dde6ae479,216.7303943,aceeb5e3-5786-4094-84b8-bffe3a106e34,"MULTILINESTRING ((143.563736163 -38.328954348,143.563377394 -38.328974848,143.563159469 -38.328863305,143.562968692 -38.32864807,143.56276877 -38.328581307,143.56254877 -38.32857869,143.562289425 -38.328659801,143.561901716 -38.328878055,143.561574515 -38.328927025))"
83,b28b25cd-2d85-4371-bc87-33d63c9c1a7e,94.50679398,f3873214-3a48-4fd3-b193-8b70673e87d3,"MULTILINESTRING ((143.561574515 -38.328927025,143.561623221 -38.328646918,143.561649199 -38.328275778,143.561641951 -38.328078895))"
84,65b51849-6a9c-40a9-9126-5949a88191c4,56.68813915,c19b7a69-6c5d-4567-a8c2-419744801284,"MULTILINESTRING ((143.556899256 -38.335496197,143.5572395 -38.335533096,143.557541577 -38.335565836))"
85,b9febbaf-9efa-45a5-864a-7c8a4cf3b603,270.785352,0ddce91b-fce3-4e46-af3e-9057af71e639,"MULTILINESTRING ((143.555942199 -38.33539266,143.556054826 -38.336790071,143.556175719 -38.336985671,143.556245561 -38.33711679,143.556303824 -38.337312912,143.556258712 -38.3375078,143.556204624 -38.337784505))"
86,8e238999-43af-40ad-8cfc-5f05649693bb,84.46191038,531c045e-ba04-4ae3-b15c-0314a908f19f,"MULTILINESTRING ((143.555942199 -38.33539266,143.556899256 -38.335496197))"
87,67740985-82bc-480a-82b1-eb17784bc4e9,162.267069,46d2efc2-3122-4c57-9b66-58a233ee7da5,"MULTILINESTRING ((143.555379446 -38.336797937,143.555427595 -38.335336601))"
88,eadef319-32d2-4e3f-84cd-b0449c710a39,45.42060521,de20649f-cf52-4bef-bedf-50731f49c49f,"MULTILINESTRING ((143.555427595 -38.335336601,143.555942199 -38.33539266))"
89,7640d1ec-298c-4545-8b81-05f47a8dd96e,191.0222222,b36b637a-a542-4682-91de-abcdbb6b9b7c,"MULTILINESTRING ((143.553259944 -38.335121219,143.555427595 -38.335336601))"
90,2d43fa03-24c3-4531-b4da-516022a992d3,208.032341,1c47bf22-f0d9-4b3b-95e8-5e827824ed2d,"MULTILINESTRING ((143.553621733 -38.333913017,143.554115083 -38.33383822,143.554660076 -38.333912151,143.554780544 -38.333902691,143.554857777 -38.333872589,143.55490873 -38.333824569,143.554934746 -38.333745225,143.554904849 -38.333010564))"
91,9d850fa1-fcd4-47e3-b384-f4c0923a2f09,232.6867587,b688ecbb-e89c-45ba-8a8d-c204c29fcb20,"MULTILINESTRING ((143.574194388 -38.331688663,143.574365092 -38.330725219,143.573846621 -38.329678637))"
92,f266b018-3fda-430f-bc7f-d63d0ff6587f,95.82459778,9949d641-39e8-40cb-9bd1-36c46fdf2be0,"MULTILINESTRING ((143.572206031 -38.32948782,143.57329019 -38.329613927))"
93,927e7f7d-d700-4a19-a85a-2a5a2ba2edfd,215.7822507,7d8238ec-da34-41c2-acba-f1d254a73c43,"MULTILINESTRING ((143.57294243 -38.331538466,143.57329019 -38.329613927))"
94,e29680d1-1bae-4672-8491-d8c7c7a70db1,109.2704957,c8af46d0-b1a0-498d-8c9b-3c4b2fe17389,"MULTILINESTRING ((143.574194388 -38.331688663,143.575433337 -38.331817684))"
95,57be044a-5216-463b-a700-a00fe3ad244d,132.9374299,9abb7faa-db09-44d8-81b1-96e5011e2d39,"MULTILINESTRING ((143.572206031 -38.32948782,143.572087022 -38.330123188,143.572074564 -38.330181661,143.572054159 -38.3302394,143.572026232 -38.33029514,143.571991138 -38.330348346,143.571949049 -38.33039827,143.571900684 -38.330444463,143.571846337 -38.330486468,143.571786808 -38.330523718,143.571780335 -38.330527281,143.571709021 -38.330569654))"
96,b41d2fba-c356-43e7-b0a9-83d5963e346e,166.8261527,ef0bc32e-21f3-444e-827e-6ed556f1419c,"MULTILINESTRING ((143.570318553 -38.329268339,143.572206031 -38.32948782))"
97,c483bcda-8379-4124-b96c-33eecdff5ce9,207.7489138,cb79774f-8bcd-411d-b0c3-141f90f6b9d8,"MULTILINESTRING ((143.573856371 -38.333541193,143.574194388 -38.331688663))"
98,de91b0a1-e0a4-416f-a4ab-9d4a3de71fe6,110.7279073,5f9996ce-b604-4542-8214-6dba4b8547d1,"MULTILINESTRING ((143.57294243 -38.331538466,143.574194388 -38.331688663))"
99,f823b5ed-4cf6-4e76-b00e-9642836869b5,17.47894543,666b3dee-8976-4874-a6ae-c7adf38b1408,"MULTILINESTRING ((143.572911574 -38.331694043,143.57294243 -38.331538466))"
100,111c8e54-868a-4653-8d41-476e8f1ccda6,145.8594603,98ea487c-0fc8-4c9f-b80c-1ff06ada69d1,"MULTILINESTRING ((143.568668315 -38.32907635,143.570318553 -38.329268339))"
101,3ef98647-a376-48d6-b218-30a8e671bc6d,130.0078319,442e6ac5-91ae-47fa-a7b9-df8f75aae0b9,"MULTILINESTRING ((143.569718591 -38.330274968,143.569945126 -38.330140815,143.569999973 -38.330105023,143.570049779 -38.33006492,143.570093973 -38.330020985,143.570132104 -38.329973572,143.570163712 -38.329923326,143.57018855 -38.329870712,143.570206146 -38.329816363,143.570216549 -38.329760821,143.570218997 -38.3297314,143.570318553 -38.329268339))"
102,69280c59-f9bf-4973-be8f-7eb5b0bbc76c,16.10186327,c769b03f-a234-4c06-a753-849017ca6d28,"MULTILINESTRING ((143.571709021 -38.330569654,143.571561849 -38.330656848))"
103,74939011-dd43-4a44-ad51-638249d3296f,62.19446777,98996a05-b8ed-41ab-bfcd-6f62512ca75c,"MULTILINESTRING ((143.571709021 -38.330569654,143.572145533 -38.331012042))"
104,c680dc54-6d6f-41a1-872f-cecd992bc350,83.93315054,5c46dd1e-debc-4d01-b299-df660bcf9f97,"MULTILINESTRING ((143.572911574 -38.331694043,143.571957729 -38.33160894))"
105,6d1d2404-a32d-478e-a107-135f193042bf,97.52224936,5e29a5cd-21af-4927-a657-bcf533587db8,"MULTILINESTRING ((143.572739429 -38.332562073,143.572911574 -38.331694043))"
106,8269207c-d4d9-4bed-b4d8-d3be506d1088,72.54187651,35bf2429-ebdc-4d45-a038-905b0dce027b,"MULTILINESTRING ((143.571561849 -38.330656848,143.571077699 -38.330126149))"
107,d394b33f-6bc5-484e-b28d-93a592718d33,110.0285042,e0e5d672-577a-4187-9be7-5faaca4a5dbd,"MULTILINESTRING ((143.571561849 -38.330656848,143.571390558 -38.330758433,143.571326106 -38.33080012,143.571267575 -38.330846814,143.571215533 -38.330898044,143.571170608 -38.330953349,143.571133258 -38.331012005,143.571103827 -38.331073457,143.571082775 -38.331136891,143.571074642 -38.331173551,143.571012545 -38.331495527))"
108,cc6037b4-9aad-46df-83f2-139b49d3059d,112.4460349,d7952e45-803e-4b6f-97c0-2fe76d4c4bf4,"MULTILINESTRING ((143.57258406 -38.333393365,143.573856371 -38.333541193))"
109,f3e5e136-6a15-4125-9f5f-417b61dfd998,83.36887116,cc532ef9-d36a-4a48-a3d2-cf1ec3c216d2,"MULTILINESTRING ((143.571801548 -38.332426682,143.572739429 -38.332562073))"
110,d8623190-4414-40f8-978d-0d9464fda2c1,93.27030052,93d62e90-3b91-4274-aff5-765f594b974a,"MULTILINESTRING ((143.57258406 -38.333393365,143.572739429 -38.332562073))"
111,59bc194d-b635-426d-bb70-41abca3e18f4,61.29940722,47f83468-d812-4fe7-9f39-d5e7eb0c5bc3,"MULTILINESTRING ((143.569718591 -38.330274968,143.569964042 -38.330518667,143.570201541 -38.330670842))"
