Street name,class,Lat,Lon,GlobalID,OBJECTID,baseVoltag
391 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33687677,143.5703084,serv5780,780,415V
2 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33650937,143.5712392,serv5787,787,415V
4 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33648906,143.5710433,serv5788,788,415V
6 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33646294,143.5708157,serv5789,789,415V
16 MCADAM CRESCENT COLAC 3250,EnergyConsumer,-38.33644611,143.5703192,serv5790,790,415V
7 PARKER AVENUE COLAC 3250,EnergyConsumer,-38.33617785,143.5708094,serv5794,794,415V
14 MCADAM CRESCENT COLAC 3250,EnergyConsumer,-38.33610231,143.5703735,serv5797,797,415V
12 MCADAM CRESCENT COLAC 3250,EnergyConsumer,-38.33595465,143.5704097,serv5802,802,415V
2/9 BRYAN AVENUE COLAC 3250,EnergyConsumer,-38.33759499,143.5679018,serv5812,812,415V
1/9 BRYAN AVENUE COLAC 3250,EnergyConsumer,-38.33758245,143.5677884,serv5815,815,415V
9 BRYAN AVENUE COLAC 3250,EnergyConsumer,-38.33758245,143.5677884,serv5816,816,415V
41 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33745531,143.5765257,serv5855,855,415V
21 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33637301,143.5753292,serv5856,856,415V
30 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.3367166,143.5756773,serv5858,858,415V
32 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33685921,143.5756584,serv5860,860,415V
23 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33653023,143.575302,serv5861,861,415V
43 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33764907,143.5764785,serv5862,862,415V
34 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.3370236,143.575628,serv5866,866,415V
25-27 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33678081,143.575235,serv5867,867,415V
36 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33718798,143.5755975,serv5869,869,415V
333 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3380642,143.5763969,serv5871,871,415V
38 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33735961,143.5755605,serv5873,873,415V
335 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3380289,143.5762295,serv5874,874,415V
29 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.3370646,143.5751935,serv5875,875,415V
4 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.3361951,143.5741947,serv5876,876,415V
40 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33752076,143.5755312,serv5877,877,415V
337 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33799237,143.5760265,serv5878,878,415V
31 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33727088,143.5751619,serv5879,879,415V
6 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.3363797,143.5741614,serv5881,881,415V
339 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33795446,143.575831,serv5882,882,415V
392 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33848941,143.5763959,serv5883,883,415V
3 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33614915,143.5737858,serv5884,884,415V
33 MCDONALD STREET COLAC 3250,EnergyConsumer,-38.33741912,143.5751372,serv5885,885,415V
394 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33845283,143.5762224,serv5886,886,415V
8 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33650739,143.574137,serv5887,887,415V
341 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33791803,143.5756431,serv5888,888,415V
343 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33788427,143.5754812,serv5889,889,415V
396 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33842002,143.5760524,serv5890,890,415V
10 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33666115,143.5741086,serv5891,891,415V
5 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33635243,143.5737456,serv5892,892,415V
398 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33838722,143.5758824,serv5893,893,415V
12 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.3368149,143.5740803,serv5894,894,415V
400 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33835441,143.5757123,serv5895,895,415V
7 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.3365322,143.5737127,serv5896,896,415V
345 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33779827,143.5750242,serv5897,897,415V
402 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33832161,143.5755423,serv5898,898,415V
14 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33696865,143.5740519,serv5899,899,415V
347 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33775698,143.5748149,serv5900,900,415V
404-406 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33827248,143.5752876,serv5901,901,415V
16 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33712246,143.5740235,serv5902,902,415V
349 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33772732,143.5746699,serv5903,903,415V
352 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33878679,143.577907,serv5904,904,415V
3/47 SKENE STREET COLAC 3250,EnergyConsumer,-38.33705414,143.5788935,serv5905,905,415V
4/47 SKENE STREET COLAC 3250,EnergyConsumer,-38.33700561,143.578887,serv5906,906,415V
47 SKENE STREET COLAC 3250,EnergyConsumer,-38.33729072,143.5787085,serv5907,907,415V
354-356 MURRAY STREET COLAC 3250,EnergyConsumer,-38.338765,143.5778075,serv5908,908,415V
319 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33837455,143.5780216,serv5909,909,415V
46 SKENE STREET COLAC 3250,EnergyConsumer,-38.33766281,143.5784234,serv5910,910,415V
49 SKENE STREET COLAC 3250,EnergyConsumer,-38.33726154,143.5785628,serv5911,911,415V
358-360 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33873095,143.5776369,serv5912,912,415V
48 SKENE STREET COLAC 3250,EnergyConsumer,-38.33761977,143.5782001,serv5913,913,415V
321-323 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3383241,143.5777618,serv5914,914,415V
2/51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33704461,143.5784552,serv5915,915,415V
1/51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33712733,143.5784065,serv5916,916,415V
362-364 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33870068,143.5774814,serv5917,917,415V
3/51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33684904,143.5785237,serv5918,918,415V
51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33720588,143.578272,serv5919,919,415V
51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33720588,143.578272,serv5920,920,415V
366-368 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33867773,143.5773651,serv5921,921,415V
50 SKENE STREET COLAC 3250,EnergyConsumer,-38.33757672,143.5779768,serv5922,922,415V
325 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33828163,143.5775039,serv5923,923,415V
370-372 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33865687,143.5772596,serv5924,924,415V
53 SKENE STREET COLAC 3250,EnergyConsumer,-38.33717397,143.5781117,serv5925,925,415V
4/51 SKENE STREET COLAC 3250,EnergyConsumer,-38.33670395,143.5783095,serv5926,926,415V
327 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3382549,143.5773654,serv5927,927,415V
26 LIGAR STREET COLAC 3250,EnergyConsumer,-38.33616133,143.5785667,serv5928,928,415V
374-376 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33862888,143.5771176,serv5929,929,415V
52 SKENE STREET COLAC 3250,EnergyConsumer,-38.33753033,143.5777326,serv5930,930,415V
55 SKENE STREET COLAC 3250,EnergyConsumer,-38.33713712,143.5779219,serv5931,931,415V
329 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33822305,143.5772004,serv5932,932,415V
28 LIGAR STREET COLAC 3250,EnergyConsumer,-38.33614154,143.5784022,serv5933,933,415V
378-386 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33858347,143.5768877,serv5935,935,415V
57 SKENE STREET COLAC 3250,EnergyConsumer,-38.33710016,143.5777315,serv5936,936,415V
54 SKENE STREET COLAC 3250,EnergyConsumer,-38.33748453,143.5774999,serv5937,937,415V
30 LIGAR STREET COLAC 3250,EnergyConsumer,-38.33612382,143.5782393,serv5938,938,415V
331 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3381838,143.5769969,serv5939,939,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33707755,143.577615,serv5940,940,415V
59 SKENE STREET COLAC 3250,EnergyConsumer,-38.33707755,143.577615,serv5941,941,415V
56 SKENE STREET COLAC 3250,EnergyConsumer,-38.33744736,143.5773058,serv5943,943,415V
32 LIGAR STREET COLAC 3250,EnergyConsumer,-38.33610549,143.5780794,serv5944,944,415V
1/59 SKENE STREET COLAC 3250,EnergyConsumer,-38.33705902,143.5775196,serv5945,945,415V
2/59 SKENE STREET COLAC 3250,EnergyConsumer,-38.33686533,143.5775634,serv5946,946,415V
36 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33769832,143.5770134,serv5948,948,415V
1/36 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33769832,143.5770134,serv5949,949,415V
2/36 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33769832,143.5770134,serv5950,950,415V
3/59 SKENE STREET COLAC 3250,EnergyConsumer,-38.33665206,143.5776117,serv5951,951,415V
2/34 ARMSTRONG STREET COLAC 3250,EnergyConsumer,-38.33748111,143.5770551,serv5952,952,415V
10 WEST STREET COLAC 3250,EnergyConsumer,-38.33846938,143.5683606,serv5953,953,415V
5 WEST STREET COLAC 3250,EnergyConsumer,-38.3382296,143.5679965,serv5956,956,415V
12 WEST STREET COLAC 3250,EnergyConsumer,-38.33861198,143.5683369,serv5957,957,415V
7 WEST STREET COLAC 3250,EnergyConsumer,-38.33839192,143.5679575,serv5961,961,415V
14 WEST STREET COLAC 3250,EnergyConsumer,-38.3387605,143.5683122,serv5962,962,415V
9 WEST STREET COLAC 3250,EnergyConsumer,-38.33855956,143.5679302,serv5964,964,415V
11 WEST STREET COLAC 3250,EnergyConsumer,-38.33870163,143.5679071,serv5969,969,415V
9 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33681846,143.5736622,serv6053,1053,415V
351 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33768792,143.5744647,serv6054,1054,415V
18 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33727565,143.5739812,serv6055,1055,415V
408-410 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33820612,143.5749436,serv6056,1056,415V
353 MURRAY STREET COLAC 3250,EnergyConsumer,-38.337657,143.5743079,serv6057,1057,415V
11 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33706507,143.5736121,serv6058,1058,415V
2 ADRIAN STREET COLAC 3250,EnergyConsumer,-38.33676064,143.5732842,serv6059,1059,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.33815916,143.5747052,serv6060,1060,415V
412 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33815916,143.5747052,serv6061,1061,415V
355-357 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33762086,143.5741247,serv6062,1062,415V
1/412 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33815458,143.57459,serv6063,1063,415V
13 AIRDRIE STREET COLAC 3250,EnergyConsumer,-38.33721386,143.5735781,serv6064,1064,415V
359-361 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33758016,143.573909,serv6065,1065,415V
414 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33810739,143.5744319,serv6066,1066,415V
2/412 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33831587,143.5745589,serv6067,1067,415V
416 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33806594,143.5742277,serv6068,1068,415V
3/412 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33843125,143.5745384,serv6069,1069,415V
4/369 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33706937,143.5730656,serv6070,1070,415V
418 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33803265,143.5740573,serv6071,1071,415V
365 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33749386,143.573463,serv6072,1072,415V
3/369 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33719493,143.5731053,serv6073,1073,415V
4/412 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33859405,143.574588,serv6074,1074,415V
2/369 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33730093,143.5731021,serv6075,1075,415V
422A MURRAY STREET COLAC 3250,EnergyConsumer,-38.33799195,143.5738335,serv6076,1076,415V
420-422 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33799195,143.5738335,serv6077,1077,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.33799195,143.5738335,serv6078,1078,415V
367 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33745045,143.5732387,serv6079,1079,415V
1/369 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33741689,143.5730654,serv6080,1080,415V
424 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33793362,143.5735504,serv6081,1081,415V
426 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33784955,143.5734573,serv6082,1082,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.33739521,143.5729537,serv6083,1083,415V
369 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33739521,143.5729537,serv6084,1084,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.33737615,143.572855,serv6085,1085,415V
371 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33737615,143.572855,serv6086,1086,415V
426 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33789846,143.5733704,serv6087,1087,415V
1/426 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33789505,143.5733532,serv6088,1088,415V
428 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33787271,143.5732155,serv6089,1089,415V
430 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33783654,143.5730362,serv6090,1090,415V
2/426 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33811786,143.5733336,serv6091,1091,415V
432 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33779928,143.5728475,serv6092,1092,415V
3/426 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33831626,143.5732674,serv6093,1093,415V
434 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3377634,143.5726559,serv6094,1094,415V
29 MARKS STREET COLAC 3250,EnergyConsumer,-38.33884038,143.5730345,serv6095,1095,415V
31 MARKS STREET COLAC 3250,EnergyConsumer,-38.33882632,143.5728576,serv6096,1096,415V
1/31 MARKS STREET COLAC 3250,EnergyConsumer,-38.33882632,143.5728576,serv6097,1097,415V
2/31 MARKS STREET COLAC 3250,EnergyConsumer,-38.33882632,143.5728576,serv6098,1098,415V
33 MARKS STREET COLAC 3250,EnergyConsumer,-38.33879979,143.5726757,serv6099,1099,415V
35 MARKS STREET COLAC 3250,EnergyConsumer,-38.33877945,143.5724995,serv6100,1100,415V
37 MARKS STREET COLAC 3250,EnergyConsumer,-38.33876443,143.572334,serv6101,1101,415V
283-287 MURRAY STREET COLAC 3250,EnergyConsumer,-38.3388406,143.5804367,serv6102,1102,415V
25 SKENE STREET COLAC 3250,EnergyConsumer,-38.3376888,143.5807638,serv6103,1103,415V
3/26-28 SKENE STREET COLAC 3250,EnergyConsumer,-38.33835721,143.5803479,serv6104,1104,415V
289-297 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33877591,143.5801001,serv6105,1105,415V
2/26-28 SKENE STREET COLAC 3250,EnergyConsumer,-38.33825802,143.580341,serv6106,1106,415V
26-28 SKENE STREET COLAC 3250,EnergyConsumer,-38.33810985,143.5804174,serv6107,1107,415V
1/26-28 SKENE STREET COLAC 3250,EnergyConsumer,-38.33810985,143.5804174,serv6108,1108,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33801186,143.5803394,serv6109,1109,415V
2/27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6110,1110,415V
27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6111,1111,415V
4/27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6112,1112,415V
3/27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6113,1113,415V
1/27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6114,1114,415V
5/27 SKENE STREET COLAC 3250,EnergyConsumer,-38.33768657,143.5804711,serv6115,1115,415V
299-303 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33869072,143.5796571,serv6116,1116,415V
1/33 SKENE STREET COLAC 3250,EnergyConsumer,-38.33764361,143.58025,serv6117,1117,415V
2/33 SKENE STREET COLAC 3250,EnergyConsumer,-38.3374392,143.5802919,serv6118,1118,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33761935,143.5801252,serv6119,1119,415V
33 SKENE STREET COLAC 3250,EnergyConsumer,-38.33761935,143.5801252,serv6120,1120,415V
34 SKENE STREET COLAC 3250,EnergyConsumer,-38.33795846,143.5799205,serv6121,1121,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.3386476,143.5794328,serv6122,1122,415V
MURRAY STREET COLAC 3250,EnergyConsumer,-38.3386476,143.5794328,serv6123,1123,415V
35 SKENE STREET COLAC 3250,EnergyConsumer,-38.33755048,143.5800512,serv6124,1124,415V
36 SKENE STREET COLAC 3250,EnergyConsumer,-38.33792948,143.579771,serv6125,1125,415V
4-6 SCOTT STREET COLAC 3250,EnergyConsumer,-38.33835219,143.5794964,serv6126,1126,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33753239,143.579958,serv6127,1127,415V
35 SKENE STREET COLAC 3250,EnergyConsumer,-38.33753239,143.579958,serv6128,1128,415V
2 SCOTT STREET COLAC 3250,EnergyConsumer,-38.33820559,143.5795418,serv6129,1129,415V
1/35 SKENE STREET COLAC 3250,EnergyConsumer,-38.33729271,143.5800683,serv6130,1130,415V
2/35 SKENE STREET COLAC 3250,EnergyConsumer,-38.3371962,143.5800917,serv6131,1131,415V
38 SKENE STREET COLAC 3250,EnergyConsumer,-38.33790048,143.5796216,serv6132,1132,415V
37 SKENE STREET COLAC 3250,EnergyConsumer,-38.33750941,143.5798397,serv6133,1133,415V
3A SCOTT STREET COLAC 3250,EnergyConsumer,-38.33838977,143.5789297,serv6134,1134,415V
3 SCOTT STREET COLAC 3250,EnergyConsumer,-38.33805698,143.5790338,serv6135,1135,415V
1 SCOTT STREET COLAC 3250,EnergyConsumer,-38.33783724,143.5791026,serv6136,1136,415V
41 SKENE STREET COLAC 3250,EnergyConsumer,-38.33741586,143.5793318,serv6137,1137,415V
309-315 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33838694,143.5786121,serv6138,1138,415V
43 SKENE STREET COLAC 3250,EnergyConsumer,-38.33738927,143.5791754,serv6139,1139,415V
309-315 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33847195,143.5785235,serv6140,1140,415V
1/45 SKENE STREET COLAC 3250,EnergyConsumer,-38.33735352,143.5790366,serv6141,1141,415V
2/45 SKENE STREET COLAC 3250,EnergyConsumer,-38.33713906,143.5790804,serv6142,1142,415V
344-350 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33882101,143.5780958,serv6143,1143,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33733558,143.5789442,serv6144,1144,415V
45 SKENE STREET COLAC 3250,EnergyConsumer,-38.33733558,143.5789442,serv6145,1145,415V
3/45 SKENE STREET COLAC 3250,EnergyConsumer,-38.3369942,143.5790824,serv6146,1146,415V
44 SKENE STREET COLAC 3250,EnergyConsumer,-38.33770577,143.5786463,serv6147,1147,415V
1/47 SKENE STREET COLAC 3250,EnergyConsumer,-38.33725197,143.5788702,serv6148,1148,415V
317 MURRAY STREET COLAC 3250,EnergyConsumer,-38.33840711,143.5781892,serv6149,1149,415V
2/47 SKENE STREET COLAC 3250,EnergyConsumer,-38.33717095,143.5788894,serv6150,1150,415V
SKENE STREET COLAC 3250,EnergyConsumer,-38.33733229,143.5787837,serv6151,1151,415V
16 CANTS ROAD COLAC 3250,EnergyConsumer,-38.33885478,143.5694693,serv6152,1152,415V
19 CANTS ROAD COLAC 3250,EnergyConsumer,-38.33883191,143.569061,serv6153,1153,415V
